user_id,problem_id,skill_id,correct
891,7410,37_54,0
891,10076,54,1
891,10091,54,1
891,10100,54,0
891,10089,54,1
891,7385,37_54,1
891,7422,37_54,1
891,8277,54_45,0
891,11812,70,1
891,11971,70,1
891,11745,69,1
891,11992,70,1
891,11972,70,1
891,14041,86,0
891,14043,86,0
891,14044,86,1
891,14045,86,0
891,13984,86,0
891,14030,86,0
891,10073,54,1
891,8332,45_54,0
891,8275,45_54,0
891,7426,54_37,0
891,10081,54,1
891,8365,54_45,0
891,7395,37_54,1
891,8374,54_45,1
891,10075,54,1
891,14031,86,0
891,14032,86,0
891,13979,86,0
891,14010,86,0
891,14011,86,1
891,14012,86,1
891,13967,86,1
891,13995,86,1
891,13844,85,0
891,13942,86,1
891,10981,54,1
891,11045,59,0
891,11032,59,1
891,11039,59,0
891,11060,59,1
891,11102,64,1
891,5789,30,0
891,11114,65,0
891,14384,87,0
891,14402,87,1
891,14206,87,0
891,14871,87,1
891,14872,87,1
891,14873,87,1
891,14111,87,1
891,14422,87,0
891,14874,87,1
891,14875,87,1
891,14876,87,1
891,14466,87,1
891,14458,87,1
891,14401,87,0
891,14748,87,0
891,14749,87,1
891,14750,87,1
891,14309,87,0
891,14188,87,0
891,14470,87,0
891,14472,87,0
891,14473,87,1
891,14474,87,1
891,14112,87,0
891,14104,87,1
891,14121,87,0
891,14165,87,0
891,14782,87,0
891,14783,87,1
891,14784,87,1
891,14201,87,0
891,14393,87,1
891,14154,87,1
891,14166,87,1
891,6202,32_33,0
891,6284,32_33,0
891,6285,32_33,1
891,6271,32_33,1
891,6274,32_33,1
891,6303,32_33,1
891,6291,32_33,1
891,6488,33,0
891,6482,33,1
891,6489,33,0
891,6483,33,1
891,6470,33,1
891,6485,33,1
891,6492,33,1
891,6508,33,1
891,15194,88,0
891,15195,88,0
891,15176,88,0
891,15274,88,1
891,15289,88,1
891,15244,88,1
891,15199,88,0
891,15277,88,1
891,15233,88,0
891,15308,88,1
891,15309,88,1
891,15310,88,1
891,15291,88,0
891,15292,88,0
891,15258,88,0
891,15382,88,1
891,15383,88,1
891,15384,88,1
891,8649,47,0
891,14115,87,1
891,14737,87,0
891,14738,87,0
891,14739,87,0
891,14740,87,0
891,14119,87,1
891,14423,87,1
891,14361,87,0
891,14877,87,1
891,14878,87,0
891,14879,87,1
891,14445,87,0
891,14158,87,0
891,14751,87,0
891,14752,87,0
891,14753,87,1
891,14281,87,0
891,14160,87,0
891,14779,87,1
891,14780,87,1
891,14781,87,1
891,14207,87,1
891,14413,87,0
891,14414,87,0
891,14415,87,0
891,14416,87,1
891,15222,88,0
891,15286,88,1
891,15287,88,1
891,15288,88,1
891,15255,88,1
891,15252,88,1
891,15348,88,0
891,15375,88,1
891,15376,88,1
891,15377,88,1
891,15145,88,0
891,15282,88,1
891,15165,88,1
891,15152,88,0
891,15153,88,1
891,15144,88,0
891,15230,88,1
891,15231,88,1
891,15232,88,1
891,8626,47,0
891,8664,47,0
891,8645,47,1
891,8644,47,1
891,8658,47,1
891,8637,47,1
891,8638,47,0
891,8672,47,1
891,8681,47,1
891,8635,47,1
891,14334,87,0
891,14791,87,1
891,14792,87,1
891,14793,87,1
891,14225,87,0
891,14226,87,1
891,14227,87,0
891,14228,87,1
891,14229,87,0
891,14646,87,1
891,14647,87,1
891,14648,87,1
891,14335,87,0
891,14336,87,1
891,14337,87,1
891,14338,87,1
891,14140,87,0
891,14640,87,1
891,14641,87,1
891,14642,87,1
891,14137,87,0
891,14880,87,1
891,14881,87,1
891,14882,87,1
891,14177,87,0
891,14365,87,1
891,14366,87,1
891,14367,87,1
891,14230,87,0
891,14369,87,1
891,14370,87,1
891,14371,87,1
891,14316,87,0
891,14834,87,1
891,14835,87,1
891,14836,87,1
891,14220,87,0
891,14695,87,1
891,14696,87,1
891,14697,87,1
891,15967,95,1
891,16616,107,0
891,15907,95,0
891,15908,95,0
891,15909,95,1
891,15910,95,1
891,15991,95,1
891,15915,95,1
891,15903,95,1
891,16472,107,0
891,16617,107,0
891,16505,107,0
891,16591,107,1
891,16604,107,1
891,16618,107,1
891,14795,87,1
891,14773,87,1
891,14883,87,1
891,14806,87,1
891,834,109_4,0
891,835,4_109,0
891,836,109_4,1
891,717,109_4,1
891,783,4_109,0
891,781,109_4,0
891,698,4_109,1
891,837,4_109,0
891,838,109_4,0
891,740,109_4,0
891,615,4_109,0
891,816,4_109,0
891,689,4_109,0
891,823,109_4,1
891,645,109_4,0
891,739,109_4,1
891,575,109_4,0
891,589,4_109,1
891,746,109_4,0
891,797,109_4,1
891,811,109_4,0
891,839,109_4,0
891,649,109_4,0
891,693,4_109,0
891,840,4_109,0
891,764,4_109,1
891,706,4_109,1
891,819,4_109,1
891,613,109_4,0
891,594,4_109,0
1104,8340,54_45,1
1104,7372,54_37,1
1104,11465,68,0
1104,11529,68,0
1104,11527,68,1
1104,11462,68,1
1104,11554,68,1
1104,11743,69,1
1104,12425,71,0
1104,12389,71,0
1104,12431,71,0
1104,12496,71,0
1104,12359,71,0
1104,12376,71,0
1104,12406,71,0
1104,6142,32,0
1104,6103,32,0
1104,6139,32,0
1104,6083,32,0
1104,5940,32,0
1104,5919,32,0
1104,6306,32,0
1104,5671,30,0
1104,5612,30,0
1104,5537,30,0
1104,5718,30,0
1104,5720,30,0
1104,5601,30,0
1104,5567,30,1
1104,5494,30,0
